Account Name,Domain/URL ,Country
VIVO ENERGY PLC,https://www.vivoenergy.com/,United Kingdom
"Walgreens Boots Alliance, Inc.",https://www.walgreensbootsalliance.com/,United Kingdom
WATES GROUP LTD,https://www.wates.co.uk/,United Kingdom
WH SMITH PLC,https://www.whsmithplc.co.uk/,United Kingdom
White & Case LLP,https://www.whitecase.com/,United Kingdom
WILLIAM GRANT & SONS HOLDINGS LIMITED,https://www.williamgrant.com/,United Kingdom
WNS (HOLDINGS) LIMITED,https://www.wns.com/about-wns,United Kingdom
WPP PLC,https://www.wpp.com/,United Kingdom
Xerox Corporation,https://www.xerox.com/en-us,United Kingdom
"Zimmer Biomet Holdings, Inc.",https://www.zimmerbiomet.com/en,United Kingdom
