Company,Country,public website
ALCATEL-LUCENT INTERNATIONAL,France,www.alcatel.com
AMADA SA,France,http://www.amada.fr
ANEO,France,aneo.eu
APAVE SUDEUROPE SAS,France,www.apave.com
APERAM STAINLESS SERVICES & SOLUTIONS,France,aperam.com
ARKEMA FRANCE,France,arkema.com
ATELIER DE PRODUCTION ET DE CREATION,France,www.apc.fr
ATLASFORMEN,France,www.atlasformen.fr
ATOS,France,atos.net
ATOS INFOGERANCE,France,atosworldline.fr
AUBADE PARIS,France,www.aubade.fr
AURANEXT,France,auranext.com
AUTOROUTES DU SUD DE LA FRANCE,France,www.vinci-autoroutes.com
AVIVA SOLUTIONS,France,www.aviva.fr
AXA,France,
AXENS,France,
AYMING,France,www.ayming.com
BANQUE DE FRANCE,France,banque-france.fr
BCA EXPERTISE SAS,France,bca.fr
BIOCODEX,France,biocodex.fr
BIOMERIEUX SA,France,biomerieux.com
BNP PARIBAS,France,group.bnpparibas
BOLLORE LOGISTICS,France,bollore-logistics.com
BONDUELLE DEVELOPMENT,France,bonduelle.fr
BOSTIK SA,France,bostik.fr
BPI,France,www.bpi-group.com
BRUNEAU,France,www.bruneaupaysage.fr
BUREAU VERITAS EXPLOITATION,France,bureauveritas.fr
BUSINESS FRANCE,France,www.businessfrance.fr
C F E B SISLEY,France,http://www.sisley-paris.com
CAISSE CENTRALE DE REASSURANCE,France,http://www.ccr.fr
CAISSE DES DEPOTS ET CONSIGNATIONS,France,caissedesdepots.fr
CAPGEMINI TECHNOLOGY SERVICES,France,capgemini.com
CARREFOUR AUTO,France,https://www.carrefour.fr
CDISCOUNT,France,cdiscount.com
CELESTE,France,celeste.fr
CLOUD TEMPLE,France,www.intrinsec.com
CLOVIS,France,www.carrefour.fr
CMA CGM,France,cma-cgm.com
CNP ASSURANCES,France,cnp.fr
COLAS RAIL,France,www.colasrail.com
COMITE D'ENTREPRISE DE CREDIT AGRICOLE S.A.,France,www.ca-paris.fr
COMITE ENTREPRISE GENERAL MOTORS FRANCE,France,
COMPLETEL SAS,France,completel.fr
CONDAT,France,www.condat-pap.com
COVAGE NETWORKS,France,https://www.covage.com
CREDIT MUTUEL ARKEA,France,
CRITEO,France,criteo.com
DAILYMOTION,France,dailymotion.com
DANONE RESEARCH,France,danone.fr
DARAS GENERAL ELECTRIC,France,
DASSAULT AVIATION,France,dassault-aviation.com
DASSAULT SYSTEMES,France,3ds.com
DATAIKU,France,dataiku.com
DELPHARM BRETIGNY,France,www.delpharm.com
DIAGNOSTICA STAGO,France,stago.com
ECONOMIE D'ENERGIE,France,www.economiedenergie.fr
EIFFAGE INTERNATIONAL,France,http://www.eiffageconnectic78.com
